trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'e': 0.04999999999999925, 'a': 0.5}",20,0,28.17986683438182,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'e': 0.03999999999999925, 'a': 0.5}",25,13,10.92572794841161,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'e': 0.02999999999999925, 'a': 0.5}",25,11,17.66745084096494,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'e': 0.019999999999999248, 'a': 0.5}",20,15,10.994249399347474,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'e': 0.009999999999999247, 'a': 0.5}",25,15,16.316357417713036,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",25,18,15.312998420661497,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",25,7,28.266413052647053,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",20,1,26.99605814909744,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,5,33.462296153696414,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",20,12,16.722973368825407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",25,7,31.402097640084307,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,16,11.761436338881062,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",20,13,9.574017023655276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",25,10,28.06306164632545,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,9,19.32388792222377,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'e': 0, 'a': 0}",30,19,20.825574358218134,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'e': 0, 'a': 0}",25,13,23.614582175312748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'e': 0, 'a': 0}",20,8,19.52748804745267,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'e': 0, 'a': 0}",30,9,34.25891523201193,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'e': 0, 'a': 0}",25,15,17.201659233044698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'e': 0, 'a': 0}",25,11,28.854525554928696,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'e': 0, 'a': 0}",20,7,24.394844639643793,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'e': 0, 'a': 0}",25,16,18.237519555413694,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'e': 0, 'a': 0}",20,12,14.884953443483173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'e': 0, 'a': 0}",25,11,28.42348282236181,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'e': 0, 'a': 0}",20,13,15.966900200186616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'e': 0, 'a': 0}",20,6,21.58304307545804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'e': 0, 'a': 0}",25,13,18.080353856858427,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'e': 0, 'a': 0}",20,0,30.344283543210345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'e': 0, 'a': 0}",25,17,7.431811029665935,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,True,"{'e': 0, 'a': 0}",25,11,21.146431781227363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'e': 0, 'a': 0}",20,5,29.817326747119818,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'e': 0, 'a': 0}",20,12,14.808575285784398,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'e': 0, 'a': 0}",30,12,35.75404201174482,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'e': 0, 'a': 0}",20,16,7.0799410774505045,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
